Year,Game Number,Home Team,Away Team,L_2 Cluster_5,H_1 Cluster_5,L_2 Cluster_10,H_1 Cluster_10,L_2 Cluster_20,H_1 Cluster_20
1999,14,ATL,SF,1,4,9,8,15,14
1999,14,BAL,PIT,2,3,5,4,10,1
1999,14,CAR,GB,3,2,2,5,8,10
1999,14,CLE,CIN,1,4,9,8,16,14
1999,14,DEN,JAX,3,2,2,5,7,3
1999,14,DET,TB,5,1,4,2,5,7
1999,14,MIA,NYJ,3,2,2,5,7,3
1999,14,MIN,KC,2,3,6,4,14,8
1999,14,NE,IND,2,4,5,8,11,14
1999,14,NYG,BUF,3,2,2,5,7,4
1999,14,OAK,TEN,2,3,6,4,13,9
1999,14,PHI,DAL,1,4,9,8,15,14
1999,14,SD,SEA,3,2,2,5,7,4
1999,14,STL,NO,2,3,5,4,10,9
1999,15,ATL,TEN,2,4,5,8,11,14
1999,15,BUF,ARI,2,3,6,3,13,18
1999,15,DET,CHI,2,4,5,8,10,13
1999,15,GB,MIN,3,3,7,3,4,18
1999,15,JAX,CLE,2,4,5,8,11,13
1999,15,NE,PHI,1,4,9,8,15,14
1999,15,NO,BAL,1,4,9,8,15,14
1999,15,NYG,STL,1,4,9,8,15,14
1999,15,NYJ,DAL,5,1,4,2,5,7
1999,15,PIT,KC,2,4,5,8,11,13
1999,15,SD,MIA,3,3,7,3,4,18
1999,15,SEA,DEN,2,3,5,4,11,8
1999,15,SF,CAR,1,4,9,8,15,14
1999,15,TB,OAK,1,4,9,8,16,14
1999,15,WAS,IND,3,3,7,3,3,18
1999,16,ARI,ATL,2,4,5,8,11,13
1999,16,BUF,NE,3,2,2,5,7,4
1999,16,CAR,PIT,2,3,6,4,13,9
1999,16,CHI,STL,1,4,9,8,15,14
1999,16,CIN,BAL,1,4,9,8,15,14
1999,16,DAL,NO,3,2,1,6,18,15
1999,16,DEN,DET,2,3,6,4,13,9
1999,16,GB,TB,2,4,5,8,11,13
1999,16,IND,CLE,5,5,8,10,2,12
1999,16,JAX,TEN,1,4,9,8,16,14
