Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,L2 silhouette,H1 silhouette
1999,2,NYJ,BUF,1,0.677739254482808,0.322260745517192,1,0.680819492196795,0.319180507803205,0.56084771622206,0.564812641854859
1999,2,OAK,MIN,2,0.194966155070338,0.805033844929662,2,0.194172217398188,0.805827782601812,0.42763791958672,0.427214225742247
1999,2,PIT,BAL,2,0.436437956937549,0.563562043062451,2,0.440121623832897,0.559878376167103,-0.139640135652519,-0.146215021908453
1999,2,SD,CIN,1,0.830786318743457,0.169213681256543,1,0.828838234288916,0.171161765711084,0.694757026192781,0.693410691998924
1999,2,SEA,CHI,2,0.36201227469282,0.63798772530718,2,0.362831133159838,0.637168866840162,0.482845355351789,0.480948689230943
1999,2,TB,PHI,1,0.803042931260425,0.196957068739575,1,0.805392838607712,0.194607161392288,0.680638802235251,0.682837185721521
1999,2,WAS,NYG,1,0.753767354390867,0.246232645609133,1,0.754556910327668,0.245443089672332,0.65401861679032,0.655063001121373
1999,3,ATL,STL,1,0.689960362379987,0.310039637620013,1,0.691219171360086,0.308780828639914,0.561809431128847,0.56384143795434
1999,3,CHI,OAK,2,0.226740765484532,0.773259234515468,2,0.228129744175973,0.771870255824027,0.284404518204238,0.283273995023857
1999,3,CIN,CAR,1,0.808551927450501,0.191448072549499,1,0.810316877359509,0.189683122640491,0.699162310684194,0.700902636082244
1999,3,CLE,BAL,1,0.916635050597439,0.083364949402561,1,0.916759345764631,0.0832406542353688,0.739932767965287,0.740701687534844
1999,3,DEN,TB,1,0.578982391055084,0.421017608944916,1,0.582602685393839,0.417397314606161,0.425157703441639,0.430444024501226
1999,3,DET,KC,1,0.926608148617416,0.0733918513825843,1,0.92660428788745,0.0733957121125503,0.744264039474227,0.744927547227645
1999,3,IND,SD,2,0.311948380994972,0.688051619005028,2,0.309745313574476,0.690254686425524,0.539231493965288,0.541510359761409
1999,3,MIN,GB,2,0.156263808081614,0.843736191918386,2,0.158361416897864,0.841638583102136,0.524260474728563,0.52899441633772
1999,3,NYG,NE,2,0.352310471275303,0.647689528724697,2,0.358013055393773,0.641986944606227,0.101547797156538,0.0906503845649059
1999,3,PHI,BUF,1,0.760843920507267,0.239156079492733,1,0.762216630960524,0.237783369039476,0.67222620099503,0.67380794553351
1999,3,SEA,PIT,1,0.683576816647903,0.316423183352097,1,0.684931607912937,0.315068392087063,0.560967581952502,0.56323448456908
1999,3,SF,ARI,1,0.810898185212501,0.189101814787498,1,0.812518550844557,0.187481449155443,0.671676781627605,0.673593247794063
1999,3,TEN,JAX,2,0.318153435372028,0.681846564627972,2,0.317562150590693,0.682437849409307,0.531564679922537,0.532569568511636
1999,3,WAS,NYJ,2,0.272744727947612,0.727255272052388,2,0.269926609042685,0.730073390957315,0.5412825821113,0.543368176271089
1999,4,ARI,DAL,1,0.692650955750107,0.307349044249893,1,0.694076158392035,0.305923841607965,0.575408457107991,0.577658629332643
1999,4,BAL,ATL,2,0.202052359977882,0.797947640022118,2,0.201583441824388,0.798416558175612,0.545540537770063,0.54732752629622
1999,4,BUF,MIA,2,0.35572703048997,0.64427296951003,2,0.359327337550672,0.640672662449328,0.0567609323205553,0.050242567919806
1999,4,CAR,WAS,2,0.277301678157106,0.722698321842894,2,0.275639293583471,0.724360706416529,0.406420792110053,0.410303276476228
