Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,L_2 Cluster Probability_4,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,H_1 Cluster Probability_4,L2 silhouette,H1 silhouette
1999,2,JAX,CAR,2,0.103677606853186,0.571578564224019,0.203375096570342,0.121368732352454,2,0.102707056797593,0.575937849494032,0.120178248322416,0.201176845385958,0.276295583808632,0.283499811999995
1999,2,NO,SF,2,0.135957828487849,0.518247368987731,0.198388849807396,0.147405952717023,2,0.135777418674813,0.518390847861851,0.147324840547955,0.198506892915382,0.552500660689507,0.552937619700313
1999,2,NYJ,BUF,4,0.206444439786561,0.0898023199304703,0.238102076490388,0.465651163792581,3,0.206609771874395,0.0889536096556992,0.469679154341602,0.234757464128303,0.46158043722775,0.470216326740748
1999,2,OAK,MIN,3,0.140266565476596,0.302567799328547,0.378319459098974,0.178846176095882,4,0.139980168281172,0.299538137826038,0.178933155233421,0.381548538659369,0.332548180640287,0.341012650633816
1999,2,PIT,BAL,3,0.123681282527441,0.103050121663621,0.564748453693648,0.20852014211529,4,0.125839197781875,0.10399873872197,0.212748283879736,0.557413779616419,0.29843091660329,0.289203483641621
1999,2,SD,CIN,1,0.4037680945348,0.0751211480560517,0.14811145446568,0.372999302943468,1,0.402544594384406,0.0755006698913225,0.372809282712292,0.149145453011979,0.0969723452531925,0.0969786935705292
1999,2,SEA,CHI,2,0.150277297376319,0.476124006972585,0.21159560641299,0.162003089238106,2,0.151382327089672,0.472786903765961,0.163120358535353,0.212710410609014,0.563308897562301,0.560673965025789
1999,2,TB,PHI,4,0.19003130493097,0.0550011483283357,0.129484431305915,0.62548311543478,3,0.190569021694918,0.0545153324871781,0.626831216117997,0.128084429699907,0.461334436315835,0.458471381562041
1999,2,WAS,NYG,1,0.531262421599083,0.0850004373518617,0.140280051325403,0.243457089723652,1,0.530998791578959,0.0848101200143301,0.243844871582397,0.140346216824314,0.538987796628301,0.537824823832953
1999,3,ATL,STL,1,0.426739089407659,0.118416158503832,0.183107131042553,0.271737621045956,1,0.427161560643319,0.117826014119021,0.272065090142897,0.182947335094763,0.408683954593881,0.408045561684048
1999,3,CHI,OAK,3,0.132661461522273,0.190471411631847,0.497413733464298,0.179453393381582,4,0.131875190141712,0.188354199940659,0.178705939387524,0.501064670530105,0.488981715096786,0.490241025956091
